Nama,Kelas,Keberangkatan,JamAwal,JamAkhir,Informasi
argo semeru 18,eksekutif (Subclass A),GMR,06:20,16:50,IDR 590.00047 kursi tersisa708 poin
argo semeru 18,eksekutif (Subclass AA),GMR,06:20,16:50,IDR 620.00032 kursi tersisa744 poin
argo semeru 18,eksekutif (Subclass AB),GMR,06:20,16:50,IDR 650.00010 kursi tersisa780 poin
gaya baru malam selatan 106,ekonomi (Subclass C),PSE,11:00,00:13+1d,IDR 320.00013 kursi tersisa384 poin
gaya baru malam selatan 106,ekonomi (Subclass CA),PSE,11:00,00:13+1d,IDR 340.000408 poin
gaya baru malam selatan 106,ekonomi (Subclass CB),PSE,11:00,00:13+1d,IDR 360.00014 kursi tersisa432 poin
gaya baru malam selatan 106,ekonomi (Subclass CC),PSE,11:00,00:13+1d,IDR 380.00010 kursi tersisa456 poin
gaya baru malam selatan 106,eksekutif (Subclass AA),PSE,11:00,00:13+1d,IDR 460.00049 kursi tersisa552 poin
gaya baru malam selatan 106,eksekutif (Subclass AB),PSE,11:00,00:13+1d,IDR 490.0003 kursi tersisa588 poin
gaya baru malam selatan 106,eksekutif (Subclass AC),PSE,11:00,00:13+1d,IDR 520.0002 kursi tersisa624 poin
bima 60,eksekutif (Subclass AA),GMR,17:00,03:30+1d,IDR 640.000768 poin
bima 60,eksekutif (Subclass AB),GMR,17:00,03:30+1d,IDR 670.00012 kursi tersisa804 poin
bima 60,eksekutif (Subclass AC),GMR,17:00,03:30+1d,IDR 700.00011 kursi tersisa840 poin
jayakarta 218A,ekonomi (Subclass C),PSE,17:10,06:16+1d,IDR 340.000408 poin
jayakarta 218A,ekonomi (Subclass CA),PSE,17:10,06:16+1d,IDR 360.000432 poin
jayakarta 218A,ekonomi (Subclass CB),PSE,17:10,06:16+1d,IDR 380.00031 kursi tersisa456 poin
jayakarta 218A,ekonomi (Subclass CC),PSE,17:10,06:16+1d,IDR 400.00020 kursi tersisa480 poin
jayabaya 108,ekonomi (Subclass CA),PSE,17:25,04:18+1d,IDR 350.000420 poin
jayabaya 108,ekonomi (Subclass CB),PSE,17:25,04:18+1d,IDR 370.0009 kursi tersisa444 poin
jayabaya 108,ekonomi (Subclass CC),PSE,17:25,04:18+1d,IDR 380.0003 kursi tersisa456 poin
jayabaya 108,eksekutif (Subclass H),PSE,17:25,04:18+1d,IDR 490.0001 kursi tersisa588 poin
jayabaya 108,eksekutif (Subclass A),PSE,17:25,04:18+1d,IDR 520.0005 kursi tersisa624 poin
jayabaya 108,eksekutif (Subclass AB),PSE,17:25,04:18+1d,IDR 580.00022 kursi tersisa696 poin
jayabaya 108,eksekutif (Subclass AC),PSE,17:25,04:18+1d,IDR 610.00022 kursi tersisa732 poin
pandalungan 78F,eksekutif (Subclass A),GMR,20:05,07:03+1d,IDR 515.000618 poin
pandalungan 78F,eksekutif (Subclass AA),GMR,20:05,07:03+1d,IDR 530.00030 kursi tersisa636 poin
pandalungan 78F,eksekutif (Subclass AB),GMR,20:05,07:03+1d,IDR 545.0004 kursi tersisa654 poin
argo semeru 18,eksekutif (Subclass AC),GMR,06:20,16:50,
argo semeru 18,eksekutif (Subclass X),GMR,06:20,16:50,
argo semeru 18,eksekutif (Subclass H),GMR,06:20,16:50,
argo semeru 18,eksekutif (Subclass J),GMR,06:20,16:50,
argo semeru 18,eksekutif (Subclass I),GMR,06:20,16:50,
gaya baru malam selatan 106,eksekutif (Subclass J),PSE,11:00,00:13+1d,
gaya baru malam selatan 106,ekonomi (Subclass P),PSE,11:00,00:13+1d,
gaya baru malam selatan 106,ekonomi (Subclass Q),PSE,11:00,00:13+1d,
gaya baru malam selatan 106,eksekutif (Subclass H),PSE,11:00,00:13+1d,
gaya baru malam selatan 106,ekonomi (Subclass S),PSE,11:00,00:13+1d,
gaya baru malam selatan 106,eksekutif (Subclass A),PSE,11:00,00:13+1d,
gaya baru malam selatan 106,eksekutif (Subclass I),PSE,11:00,00:13+1d,
bima 60,eksekutif (Subclass A),GMR,17:00,03:30+1d,
bima 60,eksekutif (Subclass H),GMR,17:00,03:30+1d,
bima 60,eksekutif (Subclass I),GMR,17:00,03:30+1d,
bima 60,eksekutif (Subclass J),GMR,17:00,03:30+1d,
jayakarta 218A,ekonomi (Subclass Q),PSE,17:10,06:16+1d,
jayakarta 218A,ekonomi (Subclass S),PSE,17:10,06:16+1d,
jayakarta 218A,ekonomi (Subclass P),PSE,17:10,06:16+1d,
jayabaya 108,ekonomi (Subclass P),PSE,17:25,04:18+1d,
jayabaya 108,ekonomi (Subclass C),PSE,17:25,04:18+1d,
jayabaya 108,ekonomi (Subclass S),PSE,17:25,04:18+1d,
jayabaya 108,eksekutif (Subclass I),PSE,17:25,04:18+1d,
jayabaya 108,eksekutif (Subclass J),PSE,17:25,04:18+1d,
jayabaya 108,ekonomi (Subclass Q),PSE,17:25,04:18+1d,
jayabaya 108,eksekutif (Subclass AA),PSE,17:25,04:18+1d,
pandalungan 78F,eksekutif (Subclass AC),GMR,20:05,07:03+1d,
pandalungan 78F,eksekutif (Subclass H),GMR,20:05,07:03+1d,
pandalungan 78F,eksekutif (Subclass J),GMR,20:05,07:03+1d,
pandalungan 78F,eksekutif (Subclass I),GMR,20:05,07:03+1d,
pandalungan 78F,eksekutif (Subclass X),GMR,20:05,07:03+1d,
